name,ticker,aliases
Apple,AAPL,Apple Inc;iphone;ipad;macbook;ios;tim cook;iPhone;iPad;MacBook;AirPods;Apple Watch
Microsoft,MSFT,Microsoft Corp;Windows;Xbox;Azure;Office 365;Teams
Amazon,AMZN,Amazon.com;AWS;Prime Video;Alexa;Jeff Bezos;Andy Jassy
Alphabet,GOOGL,Google;YouTube;Waymo;Sundar Pichai;Chrome;Android
Meta,META,Facebook;Instagram;WhatsApp;Oculus;Mark Zuckerberg;Threads
Tesla,TSLA,Elon Musk;Model 3;Model Y;Cybertruck;Supercharger;FSD
NVIDIA,NVDA,GeForce;CUDA;AI chips;Jensen Huang;RTX;H100
Netflix,NFLX,Netflix Inc;streaming;Reed Hastings;binge watching
AMD,AMD,Ryzen;Radeon;EPYC;Lisa Su;Threadripper
Intel,INTC,Core i9;Xeon;Arc;Pat Gelsinger;chip shortage
Salesforce,CRM,Sales Cloud;Slack;Tableau;Marc Benioff;Trailhead
Adobe,ADBE,Photoshop;Acrobat;Creative Cloud;Lightroom;Illustrator
Uber,UBER,Uber Eats;ridehailing;Dara Khosrowshahi;gig economy
Airbnb,ABNB,home sharing;bnb;Brian Chesky;vacation rental
Spotify,SPOT,Spotify Technology;music streaming;Daniel Ek;podcasts
PayPal,PYPL,payment processing;Venmo;digital wallet;fintech
Square,SQ,Block Inc;Cash App;Jack Dorsey;point of sale
Coinbase,COIN,cryptocurrency;crypto exchange;bitcoin;ethereum
Robinhood,HOOD,commission-free trading;Vlad Tenev;stock trading app
Palantir,PLTR,data analytics;Peter Thiel;government contracts;big data
Snowflake,SNOW,cloud computing;data warehouse;Frank Slootman
CrowdStrike,CRWD,cybersecurity;endpoint protection;George Kurtz
Zoom,ZM,video conferencing;Eric Yuan;remote work;pandemic winner
Slack,WORK,workplace communication;Stewart Butterfield;team collaboration
DocuSign,DOCU,digital signatures;electronic documents;remote signing
Peloton,PTON,exercise bike;connected fitness;John Foley;home gym
Beyond Meat,BYND,plant-based meat;vegan;alternative protein;Ethan Brown
Moderna,MRNA,mRNA vaccine;COVID vaccine;Stephane Bancel;biotech
Pfizer,PFE,pharmaceutical;vaccine;Albert Bourla;drug development
Johnson & Johnson,JNJ,healthcare;pharmaceuticals;medical devices;J&J
Walmart,WMT,retail;grocery;supermarket;Doug McMillon;everyday low prices
Target,TGT,retail;bullseye;Brian Cornell;red card
Costco,COST,wholesale;membership;bulk buying;Jim Sinegal
